つぶやきシロー	shiro_tsubuyaki	ホリプロ所属のつぶやきシローです。
石原あつ美	atsuchama0508	サンミュージックプロダクション所属石原あつ美です♪    1986/2/1生まれ                                 ギターに釣りにお芝居、色々やらせて頂いてます☻
山口沙紀	yamaguchi_saki	山口沙紀です☆(ミスマガジン2007、4代目ミスマリンちゃん)最新DVD『愛の深度』発売中！
引地洋輔	yosuke_hikichi	引地洋輔。RAG FAIRメンバー。ブログはこちら http://t.co/dYdG6C7a
山根公路	DEEN_cozzy	DEENキーボード山根公路でございます。お手柔らかにお願いします。
鈴木姉妹	AMI__AYA	AMIAYAオフィシャルTwitter♡
風間八宏	kazamayahiro8	風間八宏公式ツイッターです。元サッカー日本代表MF。指導者（JFA 公認S級コーチ）。筑波大学蹴球部監督を経て、2012年4月23日に川崎フロンターレ監督に就任。
杉田篤史	atsushi_sugita	神戸生まれ。アカペラバンドINSPiの一員。ニューアルバム「インスピ浪漫2」8/6発売‼︎12/24(水)東京半蔵門TFMホールにてクリスマスワンマンライブ決定！ジャズアカペラBROAD6の3rd担当。
吉田圭介	INSPi_keisuke	日立CM『この木なんの木』を歌う『INSPi』、jazzの『BROAD6』VoiceBass、MusicDirector、VoiceTrumpet。ハモネプ音楽統括、国内外アカペラ公演など。 コーラスアレンジャー。サメ好き。趣味ムエタイ。
奥村伸二	INSPi_shinji	アカペラバンドINSPi（http://t.co/4hy3Wgfamj）のメンバーとして「こえつながり」を展開中。ジャズアカペラグループBroad6（https://t.co/6DdvwmBuAp）の4thでもあります。青空と梅干が好きです。
渡辺崇文	INSPi_takafumi	アカペラグループ「INSPi」のボイスパーカッションです。切り絵したりイラスト描いたりデザインもしてます。（◜◡‾）オエカキシタイナ
北剛彦	takehiko_kita	アカペラグループ「INSPi 」「BROAD6」ボーカルです
大倉智之	tomoyuki_okura	大くら智之→アカペラグループINSPi。オオクラトモユキ→日記歌唱ユニットLoveDiary。様々な事象・感情・感動が渦巻くこの世界から、言葉のスプーンでさっとひとすくいして歌を作って届けたく、日々を送っています。
龍 (Administrator)	ryu_Adm	Administrator 龍 OFFICIAL twitter
藤村えみり	emily_fujimura	藤村えみりです☆Twitter始めました( ・∇・)宜しくね☆
hinaco	hinaco_official	◆日本テレビドラマ「Mother」主題歌『泣き顔スマイル』でデビュー。◆BS朝日ドラマ「家族法廷」主題歌『帰り道ダイアリー』リリース。◆さくらももこさんとのユニット「イエローパープル」始めました。◆会津親善大使。
橋本美香	Mika_Hashimoto	シンガー・ソングライター。制服向上委員会の会長。主にギター弾き語りスタイルでライブ活動を行う。アイドルジャパンレコード所属。
ハナムケ君（ウマのハナムケ代表）	Hanamuque_kun	みんなと馬の話（ウマハナ）してます。まんがのキャラクターですが、まともにつきあってくれるうまともたちに支えられ生きてます。月刊『優駿』「うましか！」のいちおう主役です。JRAレープロの「ハナムケ君の優雅な週末」は、アーカイブが下のURLに。リフォローは超のんびりですけど、きながにすえながくよろハナ〜
若林史江	fumie_doru	株式投資を行って15年…。紆余曲折ありながらここまで来ました！時代に左右されるものの、時代を敏感に感じられる株が大好き♪最近ではＦＸ頑張ってます！そして、お酒・ゴルフが大好きなおっちゃん女子です（笑）
西山浩司	imokinwaruo	★西山浩司★WARUO♪《コメディアン&俳優&アーティスト&イモ欽トリオ（ワルオ）》☞1961.1.10生まれ、香川県高松出身 ☆代々木上原（渋谷区西原）で【小料理Bar:皆月(みなつき 03-3467-3778）】をカミさんとやってます（代々木上原駅より徒歩4分❗️平日18:00土曜日17:30開店！日曜定休日！）
千賀ノ浦部屋	chiganoura_beya	大相撲 千賀ノ浦部屋の公式アカウントです。部屋の近況、取組速報やブログとホームページの更新情報などをつぶやいています。
八木あずさ	azusa_1229	こんにちは櫻井夕樹改めアースプロモーション所属の八木あずさです。日々の他愛のない事をつぶやいたりしていますｗ　タメ口、呼び捨て&卑猥なものはスルーします。DMやコピペ的なものには返信致しません。鍵＆未成年禁✖　　　　http://t.co/dPPaV9xkQ2
真崎寧々	masakinene	ｴﾙﾌﾟﾛﾓｰｼｮﾝ所属のAV女優。普段は大阪神山町　Bar Lacryma[ラクリマ]でスタッフをしています。(*´･∀･)σ))*´ω`)http://t.co/Ir9mTRY2
秋元まゆ花	aki__mayu	女優やってます(*^^*)わたしの日々のなうを皆さんにお見せします♪
小滝みい菜	mina_kotaki	元AV女優。2014年4月6日の主演舞台カナリアの千秋楽をもちまして完全引退しました( ´ ▽ ` )皆さま約４年間応援ありがとうございましたらぶ☆チーム小滝
遥花しいな	haruka__shina	T165/B90(Ecup)/W59/H83 2011年週刊プレイボーイでグラビアデビューしたAV女優。好→お菓子、服、ベッドでマッタリ、沖縄の海、お風呂、バスツアー、ちょっと強引なＨ(笑)♪見た目より匂いに反応します。Ｍ寄りというかどＭで変態(笑)
宮下つばさ	tsubasa042725	宮下つばさでありんす(+o+)♪ Cocoプロモーション所属のギャル〜よろちくびー(o^∀^o) 邦Rock、ACIDMAN、セカオワ大好き〜♡
冴羽りゃん	ryansaeba	
風間ゆみ	yumikazama	
柳田やよい	yayoi_yanagida	AVアダルトプロダクション・バルドエージェンシー所属　熟女系AV女優・アダルトモデル柳田やよいです。私のプロフィールはこちらをご覧ください→http://t.co/pA6NgeQd8i　事務所の広報ブログはこちら→http://t.co/tBNU829OwJ
美緒みくる	mio_mikuru	AVプロダクション/ファイブプロモーション所属AV女優☆美緒みくる☆です。アイドルユニットマシュマロ3Dやストリップ劇場でもお仕事させていただいています！プロフィールはこちら→marks.fm/contents/model… 広報ブログもチェックしてね→http://blog.livedoor.j
羽月希	hazuki_nozomi	AVプロダクション・ファイブプロモーション所属AV女優・プロフィールはこちら→http://t.co/pWTh7bgJa3…広報ブログもチェックしてね→http://t.co/WU0jwvzWo3ファンレター宛先:151ー0053渋谷区代々木1ー58ー7ヴェラハイツ302　　ファイブプロモーション羽月希宛
雨宮真貴	maki_amamiya	AVアダルトプロダクション・バルドエージェンシー所属のAV女優・アダルトモデルの雨宮真貴です。私のプロフィールはこちらをご覧ください→http://t.co/VZwbSSglQ9　事務所の広報ブログはこちら→http://t.co/M3IJEal1CO
真木今日子	maki_kyouko	AV事務所・マークスジャパン所属AV女優☆真木今日子☆です。プロフィールはこちら→http://t.co/aPqz99Z7sW広報ブログもチェックしてね→http://t.co/SUAXgv0ReE
甲斐ミハル	miharu_kai	AVプロダクション・ファイブプロモーション所属☆AV女優/モデル甲斐ミハルです。プロフィールはこちら→http://t.co/nCyTpcB1　広報ブログもチェックしてね→http://t.co/Twpb2Is3
美山蘭子	ranko_miyama	訳あって４２歳からエロ業界に入りました。只今４６歳、現役でＡＶと風俗やってます。*色々ありましてＤＭはＮＧです*
徳井唯	yuitokui	クラブオーナー　SM・ﾌｪﾁ系AV女優　ｽｶﾄﾛｼｮｰﾊﾟｰﾃｨｰ　毎年8月12月に開催。幸福の科学会員
新村まり子	MARIKONIIMURA	現役AV女優だったり・・・
北谷静香	kitatanishizuka	こずプロ所属。1983年12月20日生。T156cmB86cmw62cmH86cm。趣味で相場を齧り、仕事と勉強大好き！頑張る人と強い女性と猫が好き。酒と煙草は勘弁。発言ジャンル・返信気まぐれ。AV業界関係者とダンサー文筆家俳優業の方、面識のある方をフォロー。当て嵌らないフォロー請求却下。現在休業中。
片桐えりりか	eririka2012	
相原未来	aiharamiku1234	わぁい
仲本紗代	nakamotosayo	移動しました   @sena2323
月野りさ	tsukino_r	。
有村千佳	chika_arimura	AVプロダクション・ファイブプロモーション所属のAV女優・モデル、ちかっちこと有村千佳です。/ プロフィール http://t.co/xLmkvk8qP1 / ファイブプロモーション http://t.co/g5yAXYc5Y7 / @fivepro @marksgroup
藤井シェリー	fujiishelly	
牧瀬由宇	yu_makise	
宮下ちはる	chiharun0810	結城リナのマネージャーしてます♡LIVE情報などをあげていくので宜しくお願いします(・´з`・)♡
愛内ももこ	ayu_3201	ぁゅとは→自由人間♡マイペース♡適当♡寂しがり屋♡ツンデレ♡割と頑固♡おバカ♡ 好き→洋服♡友達♡寝る♡ご飯♡ライブ♡白黒♡鼻高い人♡日頃思ったことを素直に呟いてます(*σ´Д｀*) ♪♪
長谷川しずく	sizuku_hasegawa	現役AV女優のしぃたん☆こと長谷川しずくですヽ(｡･ω･｡)ﾉ1991年9月21日生まれ☆B85(E-cup)W54H83(･∀･) 好きな物わONE PIECE＊戦国BASARA＊カゲプロ＊Free＊フルーツ＊美容＊ファッション.+ﾟd(´∀`*)
市川まほ	maho_ichikawa	AV事務所・マークスジャパン所属☆市川まほ☆です。プロフィールはこちら→http://t.co/0ugfuhrAPO　広報ブログもチェックしてね→http://t.co/wi1DNzqAQF
間宮ここ	CoComamiyan	
高沢沙耶	sayatakazawa	高沢沙耶です。ネコ科。この業界も４年生になりました。ブログもやっているのでぜひ遊びに来てください。高沢沙耶の読みはたかざわさあや です。
宮村恋	renmiyamura	AV女優、女優 リアルバイ 家族 娘ストロベリー小2年 唯（猫） クリエイター音楽集団 「KARAふる」提督 音楽は主にゲーム、Vシネ等*オールジャンル 映像制作 最新作 『BLコスプレ♯2 Attack onBoysLove』監督 お仕事依頼＝AVは事務所管理、それ以外はフリー 時に吉○に出勤しています。
村田和哉 (サッカー選手)	mkazu8	サッカーに人生の全てをかけるフットボーラー。清水エスパルス22.よろしくお願いします(^^)
武田英二郎	eijir0711	アビスパ福岡21番、武田英二郎です！気が向いたときにつぶやきます！
森谷賢太郎	moriya_kentaro	森谷賢太郎です！よろしくどーぞ(^^)
松本怜	MATSUREICHERU	大分トリニータ背番号「17」松本怜です。スピードが命な僕です。今年のマイスローガン「百折不撓」経歴蘭東中学校(北海道)→青森山田高校(青森県)→早稲田大学(東京都)→横浜F・マリノス→大分トリニータ
下平匠	takumi_106	下平 匠です。家族と犬が大切です。You Only Live Onceyolo
愛あいり	aiaiaiairi	愛あいり生年月日：1985/7/23身長：172バスト：110（Ｉcup）ウエスト：61ヒップ：90ブログ、ツイッター、出演作品なんでも見てください。よろしく～。
保坂友利子	yurikohosakaNo1	AV女優です！毎日、忙しいけど頑張ってます
Maika	aikotobawamaika	me-me*(ﾐｰﾑ)のMaikaです@m_e_m_e_mhttp://t.co/u6AqfANpXc[me-me*☆blog]http://t.co/nGOFgY3sZl【Maika♪HP】http://t.co/58Oydf3RUo
愛沢寧々	aizawanene	ニューハーフneneです♡我が儘お姫様!!! SHAKA村の住民。UVERcrew!!!!!!! gleeeeeeeeeeeeeeeek✡
真白希実	mashironozomi	ＡＶ女優、現在は浅草ロック座所属のストリッパー真白希実です！！ ☆twitter初めての為リフォローは面識のある方のみにさせて頂きます。真白希実のお仕事情報がほしい人は@masshi1221もフォローして下さいね★weiboも真白希実NozomiMashiroでやってます！
霧島アキ	spc_aki	AVメーカーS.P.Cで衣装やスチールカメラや脚本やジャケットデザインやときたま監督やってます☆♪東京都北区赤羽でBAR Magentaを営業していますo(^▽^)o
霜月るな	shimoruna	ＡＶ女優どすぅ☆DVD、雑誌、テレビ、Vシネ、マルチに活動してます。ラブホなう。のPV出演してます。SEXY女優DJユニットLuv♡itのメンバーです。ジュエルズプロダクション所属♡http://t.co/mrNvVL7pzU仕事の依頼はこちらまでokano@jewels-pro.com
舞野まや	mainomaya	
COCO@	cocoa9595	
石田明	gakuishida	石田です。もともと朝日放送の「ガクショク」という番組でつかっていたアカウントです。その番組関係者しかフォローしていません。今後する予定もありません。たまにつぶやくかもです。
美山加恋	karen_miyama	The official Karen Miyama twitter . actress. よろしくですhttp://t.co/MeFakMN1WH
あずまゆき	yuki_azuma	☆漫画家・イラストレーター☆ヤング誌を中心にいろいろ連載中♪同人活動はサークル名Singleton~しんぐるとん~（旧・いもむや本舗）でオリジナルちっちゃいこ中心に活動中☆我是日本的漫画家。同人社團Singleton〜あずまゆき〜我看得懂簡單的中文，也會寫喔!請大家多多使用中文來跟我聊天哦！^^
坂部宏行	hirosakabon	坂部宏行です。魂焦がして✌️                                           we are the mods
北川エリカ	KitagawaErika	
桜井良太	Sakurai_Ryota	プロバスケットボールチームレバンガ北海道所属。
ローリー・マキロイ	McIlroyRory	I hit a little white ball around a field sometimes
古賀茂明	kogashigeaki	古賀茂明　元経産省職員趣味：山歩き、キャンプ、 サックス（初心者）、サッカー、 落語鑑賞、  メルマガ：　https://t.co/wkRvp9GmEw
長妻昭	nagatsumaakira	民主党衆議院議員の長妻昭（東京７区（中野区・渋谷区）選出）です。議員の前は、ＮＥＣの営業マン（汎用コンピューター）、日経ビジネス記者をしておりました。よろしくお願いします。
ときた洸一	kouichi_tokita	どーも！ガンダムマンガとかイラスト描いてます。「月刊ガンダムエース」にてガンダムEXA VS　連載中☆コミックス１巻 8/26発売！第１シーズン ガンダムEXA全7巻発売中！EXVSマキシブーストと極限コラボ展開中☆
佐藤マコト	satoraremakoto	佐藤マコト漫画家　＠送信には返信します代表作は「サトラレ」Ｙガンガンでの最新作「Qの系譜」は２巻完結。最終話作画はhttp://t.co/vB8SzDvRbBで公開中です。マンガ王国で「カラレヤ」旧Ｊコミさんで「逃亡医Ｆ」無料配信中http://t.co/zVw0pZpy　
艾未未	aiww	索取记录片请发邮件到xuesheng512@gmail.comInstagram: http://t.co/Ucxplw9XR0
藤本えみり	DJEMIRI	クルマと映画を愛するラジオパーソナリティー。愛車JEEPとのぶらり旅、ワイン飲みながら一人でひたすら映画を観る。パリ・ダカールラリーに出たいという壮大な夢を見ちゃってます。現在サーキットに通って特訓中♪
蓮見恭子	Satori_817	ミステリ書いてます。おもに競馬・高校野球・クリスマスローズ（冬季限定）について呟きます。公式サイトはコチラ↓
門脇聡子	kadowa	絵を描くのが好きです/ご当地キャラさんが好きです
二宮優樹	Yuuki2nomiya	三重県鈴鹿市出身。 武蔵野音大声楽学科卒。 舞台『弱虫ペダル』歌唱指導/モノマネ/ミュージカル/ナレーター/介護福祉士/温泉ソムリエ/カラオケ最高点は、99.204点 もはや何者か？自分でも分からない（笑）
岩見よしまさ	iwamijizou01	飛石連休の岩見です。ぶつぶつの方です。ボートレースが好きで最近山ガールに目覚めました…月に２回は山登りする予定です。登山関連のブログをやり始めましたhttp://t.co/00SbDDGs0p?
浜島裕英	h_hamashima	
Fairies	fairies_me	フェアリーズの公式Twitter☆ イベントや各種妖精'sインフォメーションを最速でお届けします！ 9thシングル「BLING BLING MY LOVE」発売中！
高橋由太	YUTATAKAHASI	小説を書いています。妖怪の出る時代小説が多いですが、最近、現代ミステリも始めました。11月7日発売予定『猫は仕事人』（文春文庫・化け猫の活躍する時代小説）　既刊一覧： http://t.co/RPnPstK8CN
大田明奈	aoshima_akina	芸能事務所、自社ブランド、イベント主催、自身でもタレント大田明奈.DJAKEＥとして活動中です。instagram⇨MOREAKEE
綾瀬れん	ayase_ren2	ヴァンキッシュ所属。インスタにはいっぱい写真載せてます＼(^o^)／ (instagram→@ohtsuka_ren)
吉崎仁康	yoshi_yoshizaki	フリーアナウンサーの吉崎よしやすです。WOWOWテニスで４大大会などの実況、番組リポーターやナレーションのほか、イベントMCなども担当しています。元長野放送アナウンサー。WEB女性誌「女子SPA！」でイケメン 実況 アナウンサーとして紹介されました→http://t.co/p6O2Ig4TVz
シヨン	siyeon_SDN	シヨンです！みなさん、よろしくおねがいします。
鈴木結女	yumesuke1	http://t.co/630rNG3iX8 ★日曜23:00〜bayfm 78.0MHz『Music Insurance～音楽は心の保険～』★Ninth Innocence Info movie → → →http://t.co/ygDeRALhSu
瀬川晶司	ShojiSegawa	こんにちは。将棋棋士の瀬川晶司です。２００５年にサラリーマンからプロ棋士になりました。どうぞよろしくお願いします！安室奈美恵さんのファンです。８月からのツアーが待ち遠しい～
伊藤真吾	itoshin0104	将棋棋士です☆　　　　お茶をしてる時間が好きです
戸辺誠	TobeMako	将棋棋士六段の戸辺です。攻める振り飛車党。好き→野球、サッカー、大相撲、音楽、夏、地図、焼肉、米、扇子、など。苦手→高いところと一部の魚介類。マイブーム→将棋ウォーズと目覚ましツムツム(^-^)
佐藤天彦	AMAHIKOSATOh	将棋棋士。趣味はファッション、クラシック音楽他いろいろ。アン・ドゥムルメステールが大好きです。最近はドルチェ＆ガッバーナも気になるところ。宇宙戦艦ヤマトを愛しています。
野月浩貴	nozuki221	将棋のプロ棋士  札幌市北区出身相掛かり戦法と三間飛車が好き。　趣味・サッカー/コンサドーレ札幌サポ('86～'96まで日産→マリサポ)・スノーボード/ニセコ/蔵王/石打丸山　日本将棋連盟youtube公式ch担当
西尾明	nishio1979	将棋のプロです。趣味はギター、ボクシング、読書etc。好きなバンドはPink Floyd, King Crimson, Tool, The Mars Volta, Freak Kitchen, 上原ひろみ, Ihsahn, Sigur Ros etc。尊敬する人物はアインシュタイン、チェ・ゲバラ。
門倉啓太	kei_63	棋士。お酒とスカとパンクと脱出とぼのぼのと将棋観戦が好き。「角交換四間飛車 徹底ガイド」,「角交換四間飛車 最新ガイド」(マイナビ将棋BOOKS) 好評発売中です！ https://t.co/6f6iALYMT5
北浜健介	kitahama211	棋士。詰将棋、ＦＣバルセロナ、競馬などなど。
梨沙帆	risaho_kishidol	将棋と旅行が大好きです♡女性が1人で将棋センターや海外にふらっと行っても、いいと思うんです。
上田初美	ueda823	将棋の女流棋士です。2013年より女流棋士会の副会長を務めています。小平市観光まちづくり大使。最近は料理が好き。
石橋幸緒	SachioIshibashi	趣味：将棋、麻雀、プロ野球(虎に鯉して♪)、48ヲタ、リトグリ、美食。
藤田綾	aya_fjt	皆さん、こんにちは。 女流棋士の藤田綾です。 よろしくお願いします♪
中倉宏美	HIromiPDG	女流棋士、日本女子プロ将棋協会(LPSA)所属。4歳より将棋を始め、16歳でプロデビュー。現在、女流二段。将棋の普及活動にも力を入れながら棋士として日々精進しています。
中井広恵	HIROE624	将棋女流棋士です。趣味は旅行とお買い物。F1と名探偵コナンが大好き。北海道稚内市出身（観光大使）蕨市教育委員（３期目）蕨市在住
矢崎茜	y_akane0707	
麻尋えりか	mahiro_erika	ソラリネ。＃１５「ニンギョヒメ」相鉄本多劇場閉館最終公演２０１４年１１月２６日（水）～３０日（日）＠相鉄本多劇場作・演出： 福地慎太郎
ゴリけん	goriken1024	ワタナベエンターテインメント所属の芸人です。名付け親は大友康平さん！只今福岡で頑張っています！「ゴリパラ見聞録」など出演中！
もりやすバンバンビガロ	moridaisuke0316	吉本興業で「もりやすバンバンビガロ」とゆう名前で芸人をしております。よろしくお願いします！バンバン！！
渡邊築	kizuku187	週刊少年ジャンプで漫画を描かせてもらいました。『恋するエジソン』『メルヘン王子グリム』等
岡野浩介	okanokousuke	声優とかナレーターやってます。 よろしくお願いします。
チャック・ノリス	chucknorris	
坂本純一	gagsakamoto	坂本一族の末裔。
宮島咲良	sakura1109m	トイヤ！スーパー戦隊と漫画と本と音楽とオカメインコ。インドア派。元KBCアナウンサー。アニソン歌手←NEW!!『NHK Eテレアニメ「くつだる。」主題歌』でCDデビュー！TVK『キッズ劇場ピース』歌のおねえさん。レギュラーラジオはFM FUJI、MBS、KBC。テレビはTVK、TNC、TVQ。ワタナベエンタ所属。
水野美紀	mikimobilephone	水野美紀です。プロペラ犬という演劇ユニットやってます。あとはアクション。地道にトレーニングして地味に筋肉痛になってます。
松原汐織	ShioriMatsubara	1990年6月28日生 LesPros entertainment所属のモデル。お芝居もします。青学卒♡Thanks for following Shiori Matsubara's twitter account.I'm happy to meet you :) 大家好。我叫松原汐织。请多关照！
北條まみ	hojyomami	プラチナムプロダクション所属、北條です。
水井真希	mmizui	映造屋さん 監督映画【ら】（主演 加弥乃） 出演映画 岩 マリア狂騒曲 終わらない青 イチジクコバチ／忍者虎影 ハイサイゾンビ 星の長い一日 参加作品 東京残酷警察 片腕マシンガール 奇妙なサーカス...
春野恵	haruno_megumi	素敵な女優さん目指してがんばろ♪（謎）グラビアな私も見てみてくださいね♪ ツイッターで！妙に寂しがり屋（爆）な私をフォローしてくださるとありがたいです♪有限会社フロントローに所属しております！ Facebook http://t.co/u93rL60Srj
土屋裕一	tutiyatuitta	俳優★フジテレビ10/14(月)21:00START「海の上の診療所」 ★「一郎ちゃんがいく。」2014.1/22(水)〜30(木)青山円形劇場 3/5(水)〜9(日)近鉄アート館
深水黎一郎	fukamireiichiro	小説らしきものを書いています。ミステリー系。『ウルチモ・トルッコ』『エコール・ド・パリ殺人事件』『トスカの接吻』『花窗玻璃』『五声のリチェルカーレ』『ジークフリートの剣』『美人薄命』など。アイコンは最新刊の『大癋見警部の事件簿』です。
堀田世紀アントニー	hsa199029	アントニー 平成生まれ 日本×アメリカ 芸人趣味 いろんな人とお酒を呑むこと野球 音楽 映画 麻雀 スニーカー キャップ
雪野五月	2011yukino	声優です。趣味は旅行。ガラスの仮面と７ＳＥＥＤＳの続きが気になる今日この頃。早く新刊出して下さい。プロフィールの写真は、ギザのピラミッド＆スフィンクス。
野水伊織	nomizuiori	声優は野水伊織、歌は野水いおりとして活動しています！sweet ARMS。10/29発売 野水いおり「漆黒を塗りつぶせ」、coffin princess「ワタシハオマエノナカニイル」10月〜「棺姫のチャイカAB」ヴィヴィ役/ゲーム「BLAZBLUE CP」セリカ役/とちテレ「まろに☆えーる」春崎野乃花役etc…
亀田誠治	seiji_kameda	Producer/Bassist/Composer/Author音楽プロデューサー／ベーシストの亀田誠治です。 音楽が好きです。思いついたこと、感じたこと、みんなと分ち合いたいことを空に向けて飛ばします→http://t.co/qzDqvJrgTj
井上実香	MikaInoue	キングレコードの歌手：井上実香です。父は井上竜夫です。 最新曲は2011.12.21発売「夢の風ぐるま／(cw)花の舞すがた」です。 リンクはＨＰ。 ブログはhttp://t.co/HBgSyvSWYg　「井上実香のブログ」です。
土岐麻梨子	Toki_Mari	ブレイクアレッグ所属の土岐麻梨子です。 愛知県出身。グラビアアイドル・タレント。たまにお芝居もします。特技は卓球、県の強化選手にもなったことがあります。最新DVD『トッキトキ♪』はエアーコントロールから発売中です。
鈴木省吾	show_go_suzuki	
土田英生	Tsuchidahideo	劇作家・演出家・脚本家・『MONO』代表・他。 10月〜 「姐さん女房の裏切り」金沢、北九州、長久手、伊丹、広島で公演。
加瀬あゆむ	ayumukase	ロータスグループ所属・ひろせ愛美から改め加瀬あゆむとして、グラビアからAv、ストリップ、など×2ぃろぃろなことに日々挑戦してみてぃますっ(*^o^)／＼(^-^*)
笠木忍	Sinobu_kasagi	ＡＶ女優でございます(^_-)-☆ フォローしてくださってる方、ありがとうございます！　御徒町のランジェリーキャバクラ『カジェヘロ』に、月～金22時半から笠木忍として出勤しています♪よろしくお願いいたします(*^^*)  http://t.co/nzaMcQ6pk1
マット・マートン	mmurton9	Taking this journey..Step by step..Only by faith! Husband to @stef5784, Father to 4 little ones, & Blessed to play a game I love!
クレイグ・ブラゼル	cbraz67	
ジェイソン・スタンリッジ	jasonstandridge	Follower of Jesus, husband, daddy, teammate, and lover of candy!!
足立かりん	karinadachi	足立夏梨
岩永哲哉	iwanagatetsuya	声優・怪談声優。フリー。今年25周年。エヴァのケンスケは19年目。趣味はウォーキング、登山。 （連絡先）tetsuya_noheya@yahoo.co.jp
西野亮廣	nishinoakihiro	『アホ図鑑』編集長。『サーカス！』校長。2015年8月1日に日比谷公会堂（2000席）で独演会を開催します。一般の方からの絵本原画展の企画を随時受け付けています。原画のリース代は無料です。
田中いちえ	tanaka_ichie	ワンエイトプロモーション所属でタレント活動をしています。近況情報はブログまで。撮影会もやっています！ 趣味は映画鑑賞、鉄道関連(特にプラレール)、韓国関連(^з^)-☆ 最近カメラにハマってます。よろしくね！
あだち理絵子	adarieko	オッチャン女子。  元ウルトラ警備隊員、松竹芸能＆テノヒラサイズ所属。お酒大好きな２児のママ旅大好き子育て中 (￣3￣)/ちゅ～
ハ・ジウォン	hajiwon1023	시간을 달리는 소녀......
光原百合	mitsuharayuri	ミステリとかファンタジーとか童話とか、のんびり書いている作家です。よろしくお願いします。
竹内都子	miyakosyokudou	竹内都子です(*⌒▽⌒*)夫婦印プロデュースというユニットで二人芝居やってるよん♪ユル～い感じでダイエット中…ホンマに
高佐一慈	geese_takasa	THE GEESE(ザ・ギース)高佐一慈(たかさくにやす) コント パントマイム 卓球 ボードゲーム 行き止まり 漢検 らんま1/2 大喜利 ピアノ 函館 世界遺産 旅行地理
BRIDGET	BRIDGETofficial	【BRIDGET】3singer/4dancer からなる7人組ダンス・ボーカルグループ。New Single「Why…」11月26日リリース決定！！http://t.co/oYe5ogevJgレギュラーラジオ番組「BRIDGET×アスナルトレジャー」
一十三十一	hitomitoijoy	歌手です よろぴく 8/27 連続配信第三弾『時を止めて恋が踊る』release!!!!!!!!!  ニューバンド、JINTANA & EMERALDS『Destiny』も要注意。
麻倉未稀	mikiasakura821	麻倉未稀です。
森下純菜	JunnaMorishita	名古屋市出身。1996年CDデビュー。ベストアルバムVol.2「Legend」2014年5月1日発売！iTunes Store・レコチョク・amazonにて発売中。2014年10/13  東京渋谷TSUTAYA O-nest 森下純菜レギュラーライブ【GENKI!? vol.72 】開催♪[ブログ]http://
AiRI	airi_maruta	ＡｉＲＩです！（旧芸名ＵＲ＠Ｎ） 現在☆アニメソングやゲームソングなど歌っています！3rdアルバム『Mirage』が発売中！是非聴いて下さい 2015年 3ヶ月連続ワンマンライブもしまーす☆〜（ゝ。∂）
こばやしひよこ	K_hiyokopiyo	ヤンマガで尻パイオツ太もも腹肉を描いたりかわいいもの研究、うんこしたり。虫を含む生き物ツイートに反応。篠崎愛ちゃん、我らスマイレージ！箱激推しで特に竹内朱莉ちゃん！℃-ute三バカ特に岡井千聖ちゃん、娘。特にまー＆フク、武藤三吉卒前のさくら学院関連。ぽっちゃり娘が大好物！他に中西学・勝新太郎・松川尚瑠輝・前田航基とか…
華夜	kayorun	小学館Sho-Comiで漫画を描いております華夜です！お気軽にフォローして下さい☆ ボカロ、歌ってみた、ゲーム実況好きの為、ニコ動の呟き多いかもです。 リプのお返事はタイミングが合った時にランダムです…申し訳ありません！！ 同業者さまのフォロー大歓迎です！(*´∇｀*)
別天荒人	bet10co10	漫画家です。イラストも描きます。ヤングマガジンで連載中の「池袋スティングレイ」の作画を担当しています。PIXIV http://t.co/emh83hhliKTumblr http://t.co/3YS3lfweiQ
藤木俊	shunfujiki	少年サンデーでこわしや我聞、はじめてのあくという漫画をかいてました。絶賛次回作構想中。
池山文	fumiikeyama	RadioDJ／EventMC    RegularWork:MusicRemark(JFN系列)    VASP所属     趣味は子供と泥んこになって遊ぶこと＆韓流ドラマ（ツンデレ胸きゅん系）を見ること。保育士資格あり。
比花知春	higachiharu	沖縄発福岡在住のシンガーソングライター比花知春です♪KBCラジオveroQ(ベロキュー)火曜日担当 TVQキレカワ女子部出演中。9/9New Single「青い空の下でずっと」リリース♪ゆたしくね〜( ´ ▽ ` )ﾉ
森木美和	miwamoriki	CM、スチールを中心にモデルをしています。高知県出身。フォローしてね♪スプラッシュ所属http://t.co/mxpS8z2En3
小林香織 (ドラマー)	KaorinDrums	典型的なB型。滝が、ダンスが、インポートランジェリーが好きだ。PC音痴。煙草の煙と抗癌剤が死ぬほど嫌い。ドラム叩き。子宮頸癌闘病宣言。2011年、広汎子宮全摘出、リンパ節切除手術、抗癌剤治療を終え、2012年３月復帰！シャンパンが、ガソリンです。毎日糠床掻き混ぜてます。NO DAITA NO LIFE♡
ジェシカ・ゾア	iamjessicaszohr	Its taken me long enough, but finally jumped on board, this is the OFFICIAL twitter of Jessica!
平野勲人	HiranoKunji	俳優、声優、ナレーター、ドラマー。クンジードー主宰。（元TEAM・発砲・B-Zin）。男〆天魚。ドラム:好きさ☆。自己男チェスターズ（サポート）
岡村靖幸	yasuyuki_info	岡村靖幸スタッフが運営する公式ツイッターです。最新の岡村ちゃん情報をつぶやいていきます！
チャン・グンソク	AsiaPrince_JKS	아시아직진!!zikzin!!
